ID,site,longitude,long.recenter,latitude,depth_avg,tags,long.recenter.new,latitude.new,Shifted
284,NAD008,178.8011139,178.8011139,-16.96331994,1,WCS Fiji,178.8011139,-16.96331994,0
285,NAD009,178.8108583,178.8108583,-16.95775539,5.4,WCS Fiji,178.8108583,-16.95775539,0
286,NAD010,178.8060015,178.8060015,-16.9492003,2.47,WCS Fiji,178.8060015,-16.9492003,0
287,NAD012,178.8217503,178.8217503,-16.94132589,6.83,WCS Fiji,178.8217503,-16.94132589,0
288,NAD013,178.8119751,178.8119751,-16.93399454,7.27,WCS Fiji,178.8119751,-16.93399454,0
289,NAD016,178.8198496,178.8198496,-16.92557707,1.5,WCS Fiji,178.8198496,-16.92557707,0
290,NAD019,178.8326115,178.8326115,-16.91987491,2,WCS Fiji,178.8326115,-16.91987491,0
291,NAD020,178.8423867,178.8423867,-16.92340482,5,WCS Fiji,178.8423867,-16.92340482,0
292,NAD021,178.8388568,178.8388568,-16.91254356,3.67,WCS Fiji,178.8388568,-16.91254356,0
293,NAD103,178.911822,178.911822,-17.047288,1,WCS Fiji,178.911822,-17.047288,0
294,NAD111,178.816601,178.816601,-16.951638,1,WCS Fiji,178.816601,-16.951638,0
295,NAD117,178.830992,178.830992,-16.934046,6.5,WCS Fiji,178.830992,-16.934046,0
296,NAO1,178.827,178.827,-17.746,7.12,WCS Fiji,178.827,-17.746,0
297,NAO2N,178.829,178.829,-17.722,4.2,WCS Fiji,178.829,-17.722,0
298,NAO3,178.812,178.812,-17.74,4.88,WCS Fiji,178.812,-17.74,0
299,NAO6,178.838,178.838,-17.74,7.15,WCS Fiji,178.838,-17.74,0
300,NAO7,178.841,178.841,-17.734,7.2,WCS Fiji,178.841,-17.734,0
301,NAOBF1,178.83719,178.83719,-17.64418,5.22,WCS Fiji,178.83719,-17.64418,0
302,NAOBF2,178.83,178.83,-17.631,4.82,WCS Fiji,178.83,-17.631,0
303,NAOBF2,178.83,178.83,-17.631,5.62,WCS Fiji,178.83,-17.631,0
304,NAOBF3,178.825,178.825,-17.598,4.05,WCS Fiji,178.825,-17.598,0
305,NAOBF3,178.825,178.825,-17.598,4.13,WCS Fiji,178.825,-17.598,0
306,NAOBF4,178.819,178.819,-17.595,7.2,WCS Fiji,178.819,-17.595,0
307,NAOBF4,178.819,178.819,-17.595,4.95,WCS Fiji,178.819,-17.595,0
308,NAOBT1,178.831,178.831,-17.622,3.05,WCS Fiji,178.831,-17.622,0
