"","site","latitude","longitude","long.recenter","depth_avg","tags"
"67","BuE5",-17.714,178.712,178.712,7.8,"WCS Fiji; Vibrant Oceans"
"68","BuE6",-17.706,178.715,178.715,7.97,"WCS Fiji; Vibrant Oceans"
"69","C13",-17.0476,178.9761,178.9761,9.15,"WCS Fiji"
"70","C3",-17.063367,179.020033,179.020033,9.42,"WCS Fiji"
"71","C5",-17.060783,179.0013,179.0013,9.6,"WCS Fiji"
"72","CH1",-16.327467,178.7336,178.7336,11,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"73","CH2A",-16.3154,179.278717,179.278717,11,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"74","CH2B",-16.320883,179.28155,179.28155,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"75","CH4A",-16.32829,178.91351,178.91351,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"76","CH4B",-16.324833,178.92305,178.92305,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"77","CH5",-16.15627,179.75037,179.75037,12.5,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"78","Dakuibeqa_Lagoon1",-18.416,178.133,178.133,6,"ZMT (Leibniz Centre for Tropical Marine Research)"
"79","Dakuibeqa_Lagoon2",-18.419,178.136,178.136,6,"ZMT (Leibniz Centre for Tropical Marine Research)"
"80","Dakuibeqa_Lagoon3",-18.422,178.133,178.133,6,"ZMT (Leibniz Centre for Tropical Marine Research)"
"81","Dakuni_Lagoon_Tabu",-18.41,178.156,178.156,6,"ZMT (Leibniz Centre for Tropical Marine Research)"
"82","Dakuni_Lagoon1",-18.405,178.149,178.149,6,"ZMT (Leibniz Centre for Tropical Marine Research)"
"83","Dakuni_Lagoon2",-18.412,178.149,178.149,6,"ZMT (Leibniz Centre for Tropical Marine Research)"
"84","Dakuni_Lagoon3",-18.414,178.147,178.147,6,"ZMT (Leibniz Centre for Tropical Marine Research)"
"85","Dakuni_Plat",-18.425,178.154,178.154,3,"ZMT (Leibniz Centre for Tropical Marine Research)"
"86","Dakuni_Plat_Tabu",-18.42,178.165,178.165,3,"ZMT (Leibniz Centre for Tropical Marine Research)"
"87","DAM01A",-16.852215,178.510498,178.510498,8.17,"WCS Fiji"
"88","DAM02A",-16.858351,178.528919,178.528919,10,"WCS Fiji"
"89","DAM05",-16.886121,178.553044,178.553044,1,"WCS Fiji"
"90","DAM06A",-16.9179,178.511939,178.511939,1.8,"WCS Fiji"
"91","DAM07",-16.909849,178.594869,178.594869,1.67,"WCS Fiji"
"92","DAM08A",-16.8902,178.60393,178.60393,1.67,"WCS Fiji"
"93","DAM10A",-16.92092,178.604294,178.604294,8.4,"WCS Fiji"
"94","DAM13A",-16.952751,178.487678,178.487678,7,"WCS Fiji"
"95","DAM14",-16.933671,178.56121,178.56121,1.5,"WCS Fiji"
"96","DAM15A",-16.933946,178.62169,178.62169,9,"WCS Fiji"
"97","DAM16A",-16.91069,178.604418,178.604418,2,"WCS Fiji"
"98","DAM17A",-16.870412,178.566264,178.566264,1,"WCS Fiji"
"99","DAM18",-16.943229,178.487088,178.487088,4.33,"WCS Fiji"
"100","DAM19",-16.935588,178.507157,178.507157,8.37,"WCS Fiji"
"101","DAM20",-16.888132,178.619,178.619,1,"WCS Fiji"
"102","DAM22",-16.938472,178.569678,178.569678,8.2,"WCS Fiji"
"103","DAM24",-16.902319,178.568761,178.568761,5,"WCS Fiji"
"104","DamC1",-16.83556,178.5269,178.5269,6.37,"WCS Fiji; Vibrant Oceans"
"105","DamC3",-16.839076,178.552961,178.552961,5,"WCS Fiji; Vibrant Oceans"
"106","DamC4",-16.850734,178.559994,178.559994,7.1,"WCS Fiji; Vibrant Oceans"
"107","DamC5",-16.85472,178.5478,178.5478,6.57,"WCS Fiji; Vibrant Oceans"
"108","DamC8",-16.845049,178.537336,178.537336,6.9,"WCS Fiji; Vibrant Oceans"
"109","DamE1",-16.91083,178.60001,178.60001,6.57,"WCS Fiji; Vibrant Oceans"
"110","DamE2",-16.9225,178.6211,178.6211,6.53,"WCS Fiji; Vibrant Oceans"
"111","DamE4",-16.91611,178.6214,178.6214,5.8,"WCS Fiji; Vibrant Oceans"
"112","DamE5",-16.90917,178.5906,178.5906,6,"WCS Fiji; Vibrant Oceans"
"113","DamE6",-16.91833,178.6192,178.6192,6.27,"WCS Fiji; Vibrant Oceans"
"114","DamE7",-16.91833,178.6014,178.6014,6.67,"WCS Fiji; Vibrant Oceans"
"115","DawaC1",-17.627,178.559,178.559,4.63,"WCS Fiji; Vibrant Oceans"
"116","DawaC2",-17.605,178.558,178.558,8.07,"WCS Fiji; Vibrant Oceans"
"117","DawaC3",-17.632,178.582,178.582,7.37,"WCS Fiji; Vibrant Oceans"
"118","DawaC4",-17.579,178.553,178.553,6.27,"WCS Fiji; Vibrant Oceans"
"119","DawaC5",-17.702,178.601,178.601,7.17,"WCS Fiji; Vibrant Oceans"
"120","DawaC6",-17.6759,178.61905,178.61905,7.03,"WCS Fiji; Vibrant Oceans"
"121","DawaE1",-17.57421,178.48918,178.48918,4.4,"WCS Fiji; Vibrant Oceans"
"122","DawaE2",-17.565,178.474,178.474,4.33,"WCS Fiji; Vibrant Oceans"
"123","DawaE3",-17.555,178.463,178.463,5.67,"WCS Fiji; Vibrant Oceans"
"124","DawaE4",-17.556,178.482,178.482,4.9,"WCS Fiji; Vibrant Oceans"
"125","DawaE5",-17.542,178.5,178.5,6.75,"WCS Fiji; Vibrant Oceans"
"126","DawaE6",-17.546,178.508,178.508,6.23,"WCS Fiji; Vibrant Oceans"
"127","E6",-17.32933,178.5923,178.5923,12,"Marine Ecology Consulting Fiji"
"128","Fish patch",-18.15967,178.3997,178.3997,10,"Marine Ecology Consulting Fiji"
"129","GS01",-16.39027,178.320863,178.320863,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"130","GS03",-16.411183,178.335652,178.335652,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"131","GS04",-16.415195,178.33055,178.33055,12,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"132","GS05",-16.428833,178.281872,178.281872,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"133","GS06",-16.43682,178.27373,178.27373,12,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"134","GS07",-16.31936,178.88593,178.88593,7,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"135","GWW",-16.79817,179.9068333,179.9068333,8,"Marine Ecology Consulting Fiji"
"136","Horse1",-17.48974,178.60028,178.60028,7.33,"WCS Fiji"
"137","Horse2",-17.50096,178.59187,178.59187,7.45,"WCS Fiji"
"138","Horse3",-17.50477,178.60004,178.60004,8.53,"WCS Fiji"
"139","IB1",-16.469517,178.751517,178.751517,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"140","IB2",-16.324367,179.297667,179.297667,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"141","IB3",-16.230117,179.104617,179.104617,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"142","IB4",-16.1715,179.768017,179.768017,12,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"143","IB5",-16.174517,179.499233,179.499233,2.1,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"144","IP1",-16.48624,178.828214,178.828214,8,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"145","IP2",-16.35655,179.330067,179.330067,5,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"146","IP3",-16.390467,179.168,179.168,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"147","IP3.5",-16.375133,179.153617,179.153617,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"148","IP4",-16.3885,179.027667,179.027667,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"149","IP4.5",-16.215217,179.550667,179.550667,8.3,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"150","IP5",-16.393909,179.067801,179.067801,9,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"151","IP6",-16.373951,179.19535,179.19535,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"152","IP7",-16.390431,179.194997,179.194997,10,"Fiji Ministry of Fisheries; University of the South Pacific; WWF-Pacific; WWF-UK; University College London; WWF-US; ZSL"
"153","K_D1",-16.1805119,179.0488339,179.0488339,9.7,"WCS Fiji"
"154","K_D2",-16.20976,179.03596,179.03596,9.7,"WCS Fiji"
"155","K_D2D3",-16.23057,179.03047,179.03047,7,"WCS Fiji"
"156","K_D3",-16.2404619,179.0341539,179.0341539,9.6,"WCS Fiji"
"157","K_E10",-16.2900919,179.0373739,179.0373739,9.5,"WCS Fiji"
"158","K_E9",-16.2805319,179.0395239,179.0395239,9.4,"WCS Fiji"
"159","Kan03",-17.25385,-179.13147,180.86853,2.33,"WCS Fiji"
"160","Kan04",-17.22413,-179.08215,180.91785,9.5,"WCS Fiji"
"161","Kan05",-17.26847,-179.17772,180.82228,9.3,"WCS Fiji"
"162","Kan06",-17.25014,-179.17595,180.82405,8.87,"WCS Fiji"
"163","Kan07",-17.25005,-179.12773,180.87227,9.23,"WCS Fiji"
"164","Kan08",-17.24601,-179.13928,180.86072,4.1,"WCS Fiji"
"165","Kan09",-17.24883,-179.13474,180.86526,1,"WCS Fiji"
"166","KB001",-17.09066817,179.1193487,179.1193487,9.1,"WCS Fiji"
"167","KB01",-16.94233,178.99554,178.99554,9.52,"WCS Fiji"
"168","KB02",-16.94825,179.00986,179.00986,12.8,"WCS Fiji"
"169","KB03",-17.1556,179.1268,179.1268,8.39,"WCS Fiji"
"170","KB04",-17.10321,179.1319,179.1319,9.75,"WCS Fiji"
"171","KB05",-17.10741,179.1381,179.1381,9.03,"WCS Fiji"
"172","KB06",-17.0712,179.0342,179.0342,7,"WCS Fiji"
